prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,norm_only_semantics
pos,orig,60,0.00037814618553966284,20437, Berlin,0.00037814618553966284,1,9.57492011366412e-05,20437, Berlin,9.57492011366412e-05,1,0.023545612658301025,False
pos,orig,61,0.00039114776882342994,20437, Berlin,0.00039114776882342994,1,4.7868630645098165e-05,20437, Berlin,4.7868630645098165e-05,1,0.04289584828470766,False
pos,orig,62,0.00044310864177532494,20437, Berlin,0.00044310864177532494,1,2.576192309788894e-05,20437, Berlin,2.576192309788894e-05,1,0.06620883828434321,False
pos,orig,63,0.00040928894304670393,20437, Berlin,0.00040928894304670393,1,3.5925229894928634e-05,20437, Berlin,3.5925229894928634e-05,1,0.06148256155815101,False
pos,orig,64,0.0003675241314340383,20437, Berlin,0.0003675241314340383,1,5.755136953666806e-05,20437, Berlin,5.755136953666806e-05,1,0.044307073424193794,False
pos,orig,65,0.00038563169073313475,20437, Berlin,0.00038563169073313475,1,3.413252852624282e-05,330," """,3.228311470593326e-05,2,0.05347006183710362,False
pos,orig,66,0.0004061358340550214,20437, Berlin,0.0004061358340550214,1,3.412152727833018e-05,20437, Berlin,3.412152727833018e-05,1,0.06841433305009219,False
pos,orig,67,0.0004039972845930606,20437, Berlin,0.0004039972845930606,1,5.1399449148448184e-05,20437, Berlin,5.1399449148448184e-05,1,0.07131599746316031,False
pos,orig,68,0.00041085484554059803,20437, Berlin,0.00041085484554059803,1,5.6015447626123205e-05,20437, Berlin,5.6015447626123205e-05,1,0.07001868933203942,False
pos,orig,69,0.00046777274110354483,20437, Berlin,0.00046777274110354483,1,4.7804071073187515e-05,20437, Berlin,4.7804071073187515e-05,1,0.08341094610797929,False
pos,orig,70,0.0005586784100160003,20437, Berlin,0.0005586784100160003,1,5.308217805577442e-05,20437, Berlin,5.308217805577442e-05,1,0.07701484145443953,False
pos,orig,71,0.0006341456319205463,20437, Berlin,0.0006341456319205463,1,6.291765021160245e-05,20437, Berlin,6.291765021160245e-05,1,0.08395952776856894,False
pos,orig,72,0.0006697429926134646,20437, Berlin,0.0006697429926134646,1,6.611133721889928e-05,20437, Berlin,6.611133721889928e-05,1,0.09087844893181596,False
pos,orig,73,0.0009470211225561798,330," """,0.0008180678123608232,2,7.20495663699694e-05,330," """,6.790519546484575e-05,2,0.10621258331647916,False
pos,orig,74,0.0022851452231407166,20437, Berlin,0.0022851452231407166,1,9.320720710093156e-05,20437, Berlin,9.320720710093156e-05,1,0.1536145812831903,False
pos,orig,75,0.004278902895748615,20437, Berlin,0.004278902895748615,1,0.00010951710282824934,20437, Berlin,0.00010951710282824934,1,0.18333726794024163,False
pos,orig,76,0.010928839445114136,20437, Berlin,0.010928839445114136,1,0.00011571095092222095,20437, Berlin,0.00011571095092222095,1,0.2954567136386764,False
pos,orig,77,0.02674698643386364,20437, Berlin,0.02674698643386364,1,0.00014827973791398108,20437, Berlin,0.00014827973791398108,1,0.46297635021810113,False
pos,orig,78,0.048860643059015274,20437, Berlin,0.048860643059015274,1,0.00011933664791285992,20437, Berlin,0.00011933664791285992,1,0.7750258855185272,False
pos,orig,79,0.07248178124427795,330," """,0.049594487994909286,2,5.0012211431749165e-05,20437, Berlin,5.0012211431749165e-05,1,1.243740866839293,True
pos,orig,80,0.32918107509613037,330," """,0.2772580087184906,2,0.47833800315856934,20437, Berlin,0.47833800315856934,1,0.1763690038795705,True
