layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
14,12.533876832949597,8.888593103154609,11.748023435680699,12.515086696446929,3.645283729794988,0.7858533972688981,0.01879013650266792,2.840640196023422,21482,29228,29228,21482,-7746,-7746,0,17.053112030029297,11.038119316101074
15,12.518434166763322,8.962428006892425,11.761700871938517,12.49793245891927,3.556006159870897,0.7567332948248051,0.02050170784405303,2.778771157202039,7894,18795,18795,7894,-10901,-10901,0,17.036380767822266,11.01469898223877
16,12.4619399297467,8.372261285289456,11.46298145393249,12.446032222472494,4.089678644457244,0.9989584758142094,0.015907707274205762,3.074812461368829,5986,14164,14164,5986,-8178,-8178,0,16.912832260131836,9.527591705322266
17,12.474319928886409,8.581809074684323,11.598508598326609,12.477913678358838,3.8925108542020865,0.8758113305598005,-0.0035937494724294083,3.0202932731147154,5302,14258,14258,5302,-8956,-8956,0,16.97163200378418,10.111464500427246
18,12.412426812493901,8.407768135455989,11.483072467206284,12.38126355615756,4.004658677037913,0.9293543452876172,0.03116325633634176,3.044141075413954,7274,15115,15115,7274,-7841,-7841,0,16.91059112548828,10.058670043945312
19,12.543761019859984,9.619460207289649,11.760843710406617,12.942945135263425,2.924300812570335,0.7829173094533672,-0.39918411540344145,2.5405676185204094,7442,12158,12158,7442,-4716,-4716,0,16.628599166870117,10.56075668334961
20,12.38960540265501,8.887250262616671,11.607832809725785,12.53196576173321,3.502355140038338,0.7817725929292241,-0.1423603590782001,2.862942906187314,4260,9842,9842,4260,-5582,-5582,0,16.695964813232422,10.135924339294434
21,12.302685370908947,7.926477438738832,11.298508941467558,12.325362315321113,4.376207932170114,1.0041764294413884,-0.022676944412166833,3.394708447140893,3778,7316,7316,3778,-3538,-3538,0,16.408071517944336,8.48839282989502
22,11.78383297531275,7.458756861105355,10.29447972917531,9.295702179109806,4.325076114207395,1.4893532461374406,2.4881307962029435,0.3475920718670107,3770,4909,4909,3770,-1139,-1139,0,15.219477653503418,7.209109783172607
23,11.380665741715326,6.394189755709397,9.911980682627975,8.205474574274515,4.986475986005929,1.4686850590873508,3.1751911674408113,0.3425997594777668,3642,4538,4538,3642,-896,-896,0,15.220285415649414,6.798258304595947
24,9.05053609479065,5.008167469828652,6.268383758672649,7.311614696402567,4.0423686249619974,2.782152336118,1.738921398388082,-0.47870510954408463,6199,5150,5150,6199,1049,1049,0,10.892860412597656,4.962549686431885
25,10.276216547514887,5.539994580571241,7.674154812351971,8.891678471911087,4.736221966943646,2.6020617351629154,1.3845380756037997,0.7496221561769305,121,305,305,121,-184,-184,0,13.454483032226562,5.76315450668335
26,7.255541472915257,6.765529879938149,6.116859476025876,7.281296906777867,0.4900115929771083,1.1386819968893809,-0.025755433862610033,-0.6229149700496626,101,229,229,101,-128,-128,0,5.557552814483643,2.9959487915039062
27,6.143255373280301,4.747667068393264,4.7495502784202115,6.14338676802556,1.3955883048870366,1.3937050948600893,-0.0001313947452592501,0.0020146047722064964,35,87,87,35,-52,-52,0,4.343688011169434,3.839834213256836
28,6.827976092535832,4.391025269437851,4.4023162744322955,6.857865989325185,2.4369508230979813,2.4256598181035365,-0.029889896789352832,0.04118090178379763,20,39,39,20,-19,-19,0,4.78587532043457,4.540225505828857
