layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
11,11.526672132991816,7.097819623461993,8.902187299809407,11.572764859284256,4.428852509529824,2.624484833182409,-0.04609272629243932,1.850460402639854,3954,6337,6337,3954,-2383,-2383,0,16.854135513305664,9.766156196594238
12,11.566693183778195,6.652035088980765,8.763041640441138,11.611873714090459,4.9146580947974305,2.8036515433370575,-0.045180530312263656,2.1561870817726367,16088,8713,8713,16088,7375,7375,0,16.876976013183594,9.479440689086914
13,11.715912210972803,6.97084276853817,8.939796465900086,11.895466226057195,4.745069442434633,2.776115745072717,-0.17955401508439195,2.1485077124463077,12627,7046,7046,12627,5581,5581,0,16.843040466308594,9.786733627319336
14,11.673963578635552,7.156921805396299,9.068563316254089,11.84824804529751,4.517041773239254,2.6054002623814636,-0.17428446666195718,2.0859259775197474,56658,12918,12918,56658,43740,43740,0,16.835134506225586,10.307718276977539
15,11.559749212266958,6.898505489724066,9.032226821779794,11.644707265931979,4.661243722542892,2.5275223904871638,-0.08495805366502118,2.2186793857207494,44842,12073,12073,44842,32769,32769,0,16.8466739654541,10.316434860229492
16,11.727543741615955,7.4196459425073416,9.328215155290119,11.927442616366816,4.307897799108614,2.3993285863258365,-0.1998988747508612,2.1084680875336383,59881,12335,12335,59881,47546,47546,0,16.84711265563965,11.402862548828125
17,11.558326571779022,7.251315515218256,9.272439805754104,11.64901095978717,4.307011056560766,2.285886766024918,-0.09068438800814782,2.111808678543996,9599,6771,6771,9599,2828,2828,0,16.84765625,11.110234260559082
18,11.609227932989585,7.438810313258286,9.352403483238069,11.750755896037607,4.170417619731299,2.256824449751516,-0.14152796304802173,2.0551211330278045,10019,6184,6184,10019,3835,3835,0,16.8392276763916,11.767680168151855
19,11.460051557492392,7.069360622327818,9.221981471852162,11.485572407019225,4.3906909351645735,2.2380700856402296,-0.02552084952683309,2.178141699051177,8179,6477,6477,8179,1702,1702,0,16.839860916137695,11.370514869689941
20,11.443457983406544,7.016914168981903,9.268856375240727,11.473806729908398,4.426543814424641,2.1746016081658173,-0.03034874650185415,2.282290952760678,1747,4051,4051,1747,-2304,-2304,0,16.830411911010742,11.544589042663574
21,11.376975681958413,6.943702530370812,9.233374290575918,11.348338506797946,4.433273151587601,2.1436013913824947,0.028637175160467265,2.261034585044639,897,3676,3676,897,-2779,-2779,0,16.83380126953125,11.576604843139648
22,11.419894296446529,7.317162168788798,9.384040035829583,11.437455788891432,4.102732127657731,2.0358542606169454,-0.017561492444903237,2.084439359485689,111,1704,1704,111,-1593,-1593,0,16.82646942138672,12.262807846069336
23,11.394082452274436,7.49626971691155,9.450869742232458,11.384234725686031,3.8978127353628853,1.943212710041978,0.00984772658840427,1.944752298732503,56,1281,1281,56,-1225,-1225,0,16.827957153320312,12.702381134033203
24,11.321120532472397,7.374016193511025,9.386340475767524,11.24297024005913,3.9471043389613722,1.9347800567048736,0.07815029241326776,1.9341739898432309,7,676,676,7,-669,-669,0,16.82991600036621,12.708209037780762
25,11.205929304646903,7.290649323331787,9.36843983353512,11.028844272498295,3.9152799813151153,1.8374894711117822,0.17708503214860727,1.900705478054726,1,86,86,1,-85,-85,0,16.81424903869629,12.6661958694458
26,11.234574734974611,7.432939513488433,9.465519224432951,11.043576306371204,3.801635221486178,1.7690555105416603,0.19099842860340743,1.8415812823411102,1,40,40,1,-39,-39,0,16.828458786010742,12.707151412963867
27,11.228778231709931,7.646054223062195,9.50917805225038,11.046605264818199,3.5827240086477365,1.719600179459551,0.18217296689173246,1.680950862296453,1,31,31,1,-30,-30,0,16.819435119628906,13.146583557128906
28,11.146902795078976,7.709597684972382,9.500516318022326,10.90500025354259,3.4373051101065935,1.6463864770566499,0.24190254153638513,1.5490160915135585,1,42,42,1,-41,-41,0,16.819427490234375,13.148992538452148
29,10.95159310538374,7.290594288883511,9.358914746399734,10.564361784215263,3.6609988165002285,1.5926783589840063,0.3872313211684766,1.6810891363477456,1,72,72,1,-71,-71,0,16.798986434936523,12.7381010055542
30,10.80215669211844,6.667753615339022,9.181427962778713,10.248740599213043,4.134403076779419,1.620728729339728,0.5534160929053975,1.9602582545342937,1,83,83,1,-82,-82,0,16.794559478759766,11.97482967376709
31,10.731057000459947,5.638526192972957,8.940644684334142,10.034898059060831,5.092530807486989,1.7904123161258045,0.6961589413991156,2.605959549962069,3,185,185,3,-182,-182,0,16.83784294128418,10.615063667297363
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,2.9610018730163574,2.9610018730163574
