pos_frac,pos_index,layer,kl_bits_baseline,kl_bits_tuned,delta_kl_bits_tuned,answer_rank_baseline,answer_rank_tuned,rank_shift_tuned,entropy_bits_baseline,entropy_bits_tuned
0.92,15,5,12.626209502683613,7.370741643838597,5.255467858845016,,,,16.875259399414062,11.04721450805664
0.98,16,5,12.155067846159174,7.114243966619391,5.040823879539783,20584,14344,6240,16.872175216674805,10.767618179321289
0.2,3,6,9.909594251364602,3.467183312075688,6.442410939288914,,,,16.887880325317383,11.661154747009277
0.4,6,6,11.44570958027164,6.410749621195675,5.034959959075964,,,,16.872657775878906,12.426739692687988
0.6,10,6,9.020781032399572,5.380629952836935,3.6401510795626377,,,,16.87850570678711,11.37628173828125
0.8,13,6,12.487654775703708,6.909797870579718,5.577856905123991,,,,16.881807327270508,12.282170295715332
0.92,15,6,12.66537889538292,7.374534893186027,5.290844002196893,,,,16.880090713500977,11.195916175842285
0.98,16,6,12.14802894022466,7.267618094658843,4.880410845565818,24949,15473,9476,16.87965965270996,10.987452507019043
0.2,3,7,10.056039542366095,3.5072346318086187,6.548804910557477,,,,16.882282257080078,11.950631141662598
0.4,6,7,11.435752472717287,6.476435986935613,4.959316485781674,,,,16.87211799621582,12.218594551086426
0.6,10,7,9.140799469269485,5.150504439266332,3.9902950300031526,,,,16.873144149780273,11.53426456451416
0.8,13,7,12.441268990974198,6.603804962303402,5.837464028670796,,,,16.885236740112305,11.936630249023438
0.92,15,7,12.601720549061957,6.955997226115692,5.645723322946265,,,,16.8779239654541,10.762537002563477
0.98,16,7,12.053671002794083,6.834070469751806,5.219600533042277,23012,15529,7483,16.880598068237305,10.320327758789062
0.2,3,8,10.012102790584871,3.3135106221543373,6.698592168430533,,,,16.86677360534668,11.756448745727539
0.4,6,8,11.45519339157082,6.659744727253643,4.795448664317177,,,,16.85704231262207,12.186627388000488
0.6,10,8,9.24085966347207,5.054441121869798,4.186418541602272,,,,16.854358673095703,11.96604061126709
0.8,13,8,12.394818540767963,6.234907679647505,6.159910861120458,,,,16.87551498413086,11.350239753723145
0.92,15,8,12.843522652730238,7.5774441522575895,5.2660785004726485,,,,16.850238800048828,11.94909954071045
0.98,16,8,12.19742648513608,7.339563940959584,4.857862544176497,34493,16496,17997,16.861637115478516,11.303898811340332
0.2,3,9,10.029927760450896,3.2761140266201245,6.753813733830771,,,,16.87006378173828,11.51080322265625
0.4,6,9,11.46189933909326,6.254517141498883,5.207382197594378,,,,16.855772018432617,12.1585111618042
0.6,10,9,9.360303678288103,4.931844665063452,4.428459013224651,,,,16.854217529296875,12.558260917663574
0.8,13,9,12.548459585881556,6.680186585135196,5.86827300074636,,,,16.85973358154297,11.82799243927002
0.92,15,9,12.872759703376916,7.682265514166661,5.190494189210255,,,,16.852333068847656,11.838465690612793
0.98,16,9,12.131392026510795,7.062828033317445,5.06856399319335,32200,16758,15442,16.866527557373047,10.62958812713623
0.2,3,10,9.89826609811757,2.972397136745327,6.9258689613722435,,,,16.84918212890625,10.902892112731934
0.4,6,10,11.347102295503543,5.897946199395625,5.449156096107918,,,,16.85093116760254,11.589956283569336
0.6,10,10,9.180364422065777,5.050048684966763,4.130315737099014,,,,16.843273162841797,11.898874282836914
0.8,13,10,12.342933438794464,6.19479169443785,6.148141744356614,,,,16.848772048950195,10.734803199768066
0.92,15,10,12.635733213957792,6.883717045541675,5.752016168416117,,,,16.845115661621094,10.326963424682617
