layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
16,10.08535983261579,4.964910393483638,8.232536388353079,10.563018943677326,5.120449439132152,1.852823444262711,-0.477659111061536,3.745285105930977,45953,17373,17373,45953,28580,28580,0,16.828296661376953,9.089775085449219
17,10.057930663594982,5.509307372212488,8.320923088145701,10.539937496070332,4.548623291382494,1.7370075754492813,-0.48200683247534926,3.293622548408562,35285,15567,15567,35285,19718,19718,0,16.770503997802734,10.237566947937012
18,10.080745882058443,5.341326413669955,8.276574953863614,10.620840886758609,4.739419468388488,1.8041709281948286,-0.5400950047001665,3.4753435448938257,84821,39463,39463,84821,45358,45358,0,16.756000518798828,9.939491271972656
19,10.014946695699539,4.517934363197233,8.063462996012266,10.522016903850426,5.497012332502306,1.951483699687273,-0.5070702081508873,4.052598840965921,86338,40116,40116,86338,46222,46222,0,16.77092170715332,8.307888984680176
20,10.231205248131072,5.485664917198378,8.383848100443386,10.973929524147197,4.745540330932695,1.8473571476876867,-0.7427242760161246,3.6409074592611326,116649,74264,74264,116649,42385,42385,0,16.72870635986328,10.460931777954102
21,10.063440299798023,4.339650611972113,8.000821411123203,10.65134029006262,5.72378968782591,2.0626188886748196,-0.5878999902645976,4.249070789415688,115544,67923,67923,115544,47621,47621,0,16.76058006286621,8.175698280334473
22,10.124549175302596,3.9249632924892945,8.196100143941285,10.726170629383631,6.199585882813301,1.9284490313613105,-0.6016214540810356,4.872758305533026,102870,54634,54634,102870,48236,48236,0,16.75076675415039,9.001376152038574
23,9.959573097635937,3.194139871947574,7.909367916700396,10.326855119234931,6.765433225688364,2.0502051809355413,-0.36728202159899404,5.082510066351817,21494,10153,10153,21494,11341,11341,0,16.759096145629883,8.232461929321289
24,9.866055123472174,3.1983548227549194,7.745118981681586,10.1771132647817,6.667700300717255,2.1209361417905876,-0.3110581413095268,4.857822300236194,12365,7401,7401,12365,4964,4964,0,16.74860191345215,8.162453651428223
25,9.88775727021925,3.661393000736006,7.904923885002101,10.203734803274058,6.226364269483245,1.9828333852171491,-0.3159775330548076,4.559508417320903,205,567,567,205,-362,-362,0,16.73685646057129,9.390514373779297
26,9.862408403343279,4.112466001731264,8.090427811875744,10.107153474133124,5.749942401612015,1.7719805914675355,-0.2447450707898451,4.222706880934324,150,450,450,150,-300,-300,0,16.762800216674805,10.609359741210938
27,10.021294231377583,3.8602052890987144,8.286523806250726,10.438008882348772,6.161088942278869,1.7347704251268574,-0.41671465097118876,4.8430331681232,173,330,330,173,-157,-157,0,16.763477325439453,10.636658668518066
28,9.837024452006531,3.1594771126314765,7.904533828349945,9.97160294009849,6.677547339375055,1.9324906236565864,-0.13457848809195916,4.879635203810428,18,97,97,18,-79,-79,0,16.732683181762695,9.486945152282715
29,9.972198000070476,4.4565145430599,8.213543312322395,10.273072704657114,5.515683457010576,1.7586546877480806,-0.30087470458663823,4.057903473849134,8,73,73,8,-65,-65,0,16.749353408813477,11.744355201721191
30,9.793635292985655,4.399351293531421,8.020617302168116,9.8676353000683,5.394283999454235,1.7730179908175394,-0.07400000708264542,3.6952660157193407,5,52,52,5,-47,-47,0,16.73451805114746,11.848615646362305
31,9.776109572932132,4.772175972002421,8.059513586417852,9.808134806314598,5.003933600929711,1.71659598651428,-0.03202523338246621,3.3193628477978976,4,48,48,4,-44,-44,0,16.787567138671875,12.514616012573242
32,9.760598113685514,5.082535175818842,8.138437112829399,9.798232045277917,4.678062937866672,1.6221610008561154,-0.0376339315924028,3.0935358686029595,3,44,44,3,-41,-41,0,16.78484535217285,12.895243644714355
33,9.703872044055528,4.824396096179801,8.043543965389336,9.50710325355037,4.879475947875727,1.6603280786661916,0.19676879050515694,3.022379078704378,2,18,18,2,-16,-16,0,16.75794219970703,12.71741008758545
34,9.533155873433673,4.26392699476252,7.85271339185317,9.184423900556743,5.269228878671153,1.6804424815805028,0.34873197287693003,3.24005442421372,1,12,12,1,-11,-11,0,16.744705200195312,12.056681632995605
35,9.375809634089894,3.6349709621186506,7.777314133923104,8.877956320164046,5.740838671971243,1.5984955001667895,0.4978533139258481,3.6444898578786056,1,11,11,1,-10,-10,0,16.74871253967285,11.05563735961914
36,9.117052792768952,2.7789667014760684,7.5482332429738435,8.170951464870917,6.338086091292883,1.5688195497951085,0.9461013278980346,3.82316521359974,1,9,9,1,-8,-8,0,16.704315185546875,9.615440368652344
37,8.571881548145917,1.5746182888342506,6.6920864087136955,6.129532533602656,6.997263259311667,1.8797951394322219,2.442349014543262,2.675119105336183,4,11,11,4,-7,-7,0,16.521526336669922,6.470778465270996
38,7.642902812967785,0.9654879002338939,5.506279101696095,2.843987666339818,6.677414912733891,2.1366237112716897,4.798915146627968,-0.2581239451657664,4,12,12,4,-8,-8,0,16.095327377319336,4.36365270614624
39,8.02015363694139,1.7589312358506684,6.78260844509943,4.471681005108887,6.2612224010907225,1.2375451918419609,3.548472631832504,1.4752045774162577,1,3,3,1,-2,-2,0,16.409488677978516,8.94978141784668
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,4.084633827209473,4.084633827209473
