layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
30,13.426825890702574,7.077260817377852,9.81380610620945,14.670982783574305,6.3495650733247215,3.613019784493124,-1.2441568928717306,3.980702181703328,45991,29967,29967,45991,16024,16024,0,15.559395790100098,10.879233360290527
31,13.406485158619729,7.111437897687913,9.909962294237449,14.784129481646342,6.295047260931816,3.49652286438228,-1.3776443230266135,4.176168719576149,40843,25684,25684,40843,15159,15159,0,15.537358283996582,10.80775260925293
32,13.52780309639956,7.0895238683149735,9.927689577957784,15.073925751795004,6.438279228084587,3.600113518441777,-1.5461226553954432,4.384288365038254,42972,28269,28269,42972,14703,14703,0,15.46163558959961,10.793510437011719
33,13.453657935959587,7.1109474031676525,9.916492131525407,15.1596763015152,6.342710532791934,3.5371658044341796,-1.7060183655556127,4.5115630939133675,38009,23989,23989,38009,14020,14020,0,15.459694862365723,10.77623176574707
34,13.283367594381268,6.79498294079431,9.882659016517072,14.978720283860973,6.488384653586958,3.4007085778641954,-1.695352689479705,4.7830287652024674,33710,21342,21342,33710,12368,12368,0,15.476699829101562,10.26984977722168
35,13.23995642158108,6.420370330684941,9.71155072545125,15.009525816283519,6.81958609089614,3.5284056961298305,-1.7695693947024385,5.060749789468748,26584,16029,16029,26584,10555,10555,0,15.469990730285645,9.783679008483887
36,13.180981506808413,6.760887036295457,10.02904720927848,15.479321880547609,6.420094470512956,3.151934297529934,-2.2983403737391956,5.566500546722218,24855,15815,15815,24855,9040,9040,0,15.42387866973877,10.439640998840332
37,13.113780317879677,6.369686355545068,10.17249449871013,15.691640654413177,6.744093962334609,2.941285819169547,-2.577860336533501,6.380668479698563,28758,20020,20020,28758,8738,8738,0,15.45900821685791,10.281997680664062
38,12.803025553966272,5.605680946311178,9.908240403937011,14.721064131505555,7.1973446076550935,2.8947851500292607,-1.9180385775392832,6.220598035165116,13418,9505,9505,13418,3913,3913,0,15.493494987487793,9.930810928344727
39,12.582787322993772,5.042789985204447,9.630630824428488,14.004647697626611,7.539997337789325,2.9521564985652837,-1.421860374632839,6.00970121385688,262,568,568,262,-306,-306,0,15.520740509033203,9.301015853881836
40,12.495330705377016,5.556711294235106,9.64481526554105,13.655121164902694,6.938619411141911,2.8505154398359664,-1.1597904595256772,5.2478944308316215,342,680,680,342,-338,-338,0,15.538865089416504,9.89316463470459
41,12.260767007518249,4.849047057458571,9.285598542336919,13.10958531705983,7.411719950059678,2.97516846518133,-0.8488183095415813,5.285369794419929,107,377,377,107,-270,-270,0,15.528388977050781,9.390642166137695
42,12.104753977683957,2.9145996152004665,8.674280706400237,12.533347126384939,9.19015436248349,3.43047327128372,-0.42859314870098153,6.1882742399007515,55,251,251,55,-196,-196,0,15.54346752166748,6.994849681854248
43,11.803950817880077,2.1502911725357565,7.807444118493062,11.393613971533485,9.65365964534432,3.996506699387015,0.41033684634659195,5.2468160996107125,39,231,231,39,-192,-192,0,15.508234024047852,5.060478210449219
44,11.340017986149203,2.545083366984114,7.503380167628823,10.149481844163478,8.794934619165089,3.83663781852038,1.1905361419857243,3.7677606586589842,2,27,27,2,-25,-25,0,15.415141105651855,6.737240314483643
45,10.991702899217964,2.1145187811562924,7.010770948693083,8.687764834158486,8.877184118061672,3.980931950524881,2.3039380650594783,2.592314102477313,8,26,26,8,-18,-18,0,15.308037757873535,5.153748989105225
46,10.470394591367446,1.993033504257171,6.810868634289206,6.479783457252006,8.477361087110275,3.65952595707824,3.99061113411544,0.8272239959165946,1,4,4,1,-3,-3,0,15.05566692352295,5.736762523651123
47,10.296379105571438,2.054607592832328,6.653712263791979,6.336030726632423,8.24177151273911,3.6426668417794588,3.960348378939015,0.638756292020636,1,5,5,1,-4,-4,0,14.965842247009277,5.960809230804443
48,10.191299769686072,1.830431819068325,6.433546953463446,5.877196148603725,8.360867950617747,3.7577528162226264,4.314103621082347,0.28901151331277397,1,3,3,1,-2,-2,0,14.90716552734375,6.1517720222473145
49,10.066888895913124,1.9442117572608402,6.5266728071832425,5.6038400440163425,8.122677138652284,3.5402160887298812,4.463048851896781,0.11941219802562131,1,3,3,1,-2,-2,0,14.900001525878906,6.486639499664307
50,10.422423814527583,2.0661722222242958,7.125124964974178,6.134100392809572,8.356251592303288,3.297298849553405,4.288323421718012,0.7706293210318709,1,3,3,1,-2,-2,0,15.175622940063477,6.862506866455078
51,9.959769157857922,1.8904711344671823,6.4526569776967175,5.673953931120092,8.06929802339074,3.5071121801612044,4.28581522673783,0.2763706164917057,1,3,3,1,-2,-2,0,14.944127082824707,6.556586265563965
52,10.359145205899726,2.181744735586754,7.094001608612838,6.849639715169115,8.177400470312971,3.2651435972868876,3.5095054907306107,1.402751382295473,1,5,5,1,-4,-4,0,15.270418167114258,6.923894882202148
53,9.900050590102923,1.590942194123545,6.162057204603227,5.535873188325964,8.309108395979377,3.7379933854996965,4.364177401776959,0.20693760870272193,2,9,9,2,-7,-7,0,15.085811614990234,5.063140392303467
54,9.904816573323634,1.6739016374028888,6.50238404136719,5.52711583174403,8.230914935920746,3.4024325319564444,4.377700741579604,0.4507816623846974,2,9,9,2,-7,-7,0,15.140445709228516,5.454096794128418
55,9.663141736816991,1.6064951011890214,6.440028635609163,4.926142064326144,8.05664663562797,3.2231131012078276,4.736999672490847,0.09653386192929592,2,10,10,2,-8,-8,0,15.098554611206055,5.371260166168213
56,8.904564100044333,1.6378760875613547,6.281052000735204,3.766861705342925,7.266688012482978,2.6235120993091288,5.1377023947014075,-0.49452648152755874,4,11,11,4,-7,-7,0,14.66718578338623,5.62582540512085
57,8.363345016738124,2.052349804591801,7.2809446863089,2.2682941447202083,6.310995212146324,1.0824003304292242,6.095050872017916,-0.8664559903008167,5,8,8,5,-3,-3,0,14.600359916687012,6.967983722686768
58,6.635162215069916,2.0995260215846763,7.3376810748979375,2.47706354063727,4.53563619348524,-0.7025188598280216,4.158098674432646,1.0800563788806157,12,13,13,12,-1,-1,0,13.03945255279541,6.741352558135986
59,3.555172731944816,1.9236457279053638,7.2372170654311265,3.3382953859354783,1.6315270040394523,-3.6820443334863104,0.21687734600933783,5.096693991516425,35,29,29,35,6,6,0,7.165826320648193,5.5307416915893555
60,0.0013043086143844928,0.0013043086143844928,0.0013043086143844928,0.0013043086143844928,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,3.563278913497925,3.563278913497925
