layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
17,10.454211711851858,5.216527203071358,8.136852120719047,11.070198532794164,5.2376845087805,2.3173595911328118,-0.6159868209423056,3.536311738589994,7659,3775,3775,7659,3884,3884,0,14.62778377532959,10.200732231140137
18,10.139647188256541,3.8050955124215378,7.489477090133073,10.836611008461693,6.334551675835003,2.6501700981234677,-0.696963820205152,4.381345397916688,4224,2607,2607,4224,1617,1617,0,14.51969051361084,7.586660861968994
19,9.858809150426023,5.7082541510081715,7.235789609428965,9.948699666517788,4.150554999417851,2.623019540997058,-0.08989051609176535,1.6174259745125585,566,666,666,566,-100,-100,0,14.510419845581055,5.468611240386963
20,9.778929400475679,6.266539416724797,7.010535676426703,9.726070188767693,3.5123899837508823,2.768393724048976,0.05285921170798602,0.6911370479939203,51,126,126,51,-75,-75,0,14.424241065979004,5.054359436035156
21,9.437608503989727,2.125059941792976,5.996677999602946,7.105708811622371,7.312548562196751,3.440930504386781,2.3318996923673563,1.5397183654426136,29,50,50,29,-21,-21,0,14.347416877746582,3.7269134521484375
22,9.459957305504048,1.6308872285782428,5.803323408682718,7.498506867233974,7.829070076925805,3.6566338968213303,1.9614504382700737,2.210985741834401,12,34,34,12,-22,-22,0,14.387434005737305,4.2394795417785645
23,9.452213958631601,2.453648790652902,5.835224814556562,7.779624204889494,6.998565167978699,3.6169891440750392,1.6725897537421073,1.7089862701615521,10,31,31,10,-21,-21,0,14.395299911499023,4.2367072105407715
24,9.0525592986954,1.97162940344404,4.887659914299685,6.712194620252575,7.0809298952513595,4.1648993843957145,2.3403646784428247,0.5756658324128203,6,12,12,6,-6,-6,0,14.212360382080078,3.8885104656219482
25,8.017492033436637,1.0821502676548698,4.293544471032906,3.3832953344643357,6.935341765781768,3.7239475624037315,4.634196698972302,-1.422802495594265,1,4,4,1,-3,-3,0,13.598550796508789,5.044822692871094
26,7.616165702134049,0.83775423565495,3.8757535526326174,2.6076071437573356,6.778411466479099,3.7404121495014317,5.008558558376714,-1.9705592413990463,1,3,3,1,-2,-2,0,13.540897369384766,4.4543137550354
27,7.177521199386042,0.678161988882227,3.5468559949143925,2.0038197401713336,6.499359210503815,3.63066520447165,5.173701459214708,-2.3050074531825437,1,3,3,1,-2,-2,0,13.296382904052734,4.2729597091674805
28,6.951913670053606,1.0378699805285478,3.1458402642792627,1.8464207021537387,5.914043689525058,3.806073405774343,5.105492967899867,-2.9975226841491525,1,3,3,1,-2,-2,0,13.29617977142334,2.9686715602874756
29,4.518871324679133,1.0173760978951083,1.7797868839901978,0.8526931646568462,3.5014952267840247,2.739084440688935,3.666178160022287,-2.903767373927197,2,5,5,2,-3,-3,0,11.426936149597168,2.7293834686279297
30,3.8692849411683654,1.0804207241264678,2.0681519145183778,0.8180743469080443,2.7888642170418976,1.8011330266499876,3.051210594260321,-2.0634794038684117,3,5,5,3,-2,-2,0,10.797036170959473,2.4564738273620605
31,3.687471418016937,0.7858741211783261,2.976678128890604,0.7824514944435053,2.901597296838611,0.7107932891263329,2.9050199235734318,-0.7142159158611538,3,4,4,3,-1,-1,0,10.99431324005127,3.28666615486145
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,3.611043930053711,3.611043930053711
