layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
20,11.774115267608398,6.71399562257241,9.420365523414223,11.754096487047967,5.0601196450359875,2.3537497441941753,0.020018780560430827,2.6863511202813815,545,5741,5741,545,-5196,-5196,0,16.825380325317383,11.022311210632324
21,11.724441174594391,6.809577388546528,9.448004511269083,11.658794708829452,4.914863786047863,2.276436663325308,0.06564646576493871,2.572780656957616,40,3310,3310,40,-3270,-3270,0,16.8302059173584,11.290430068969727
22,11.793849244899,7.039295303234585,9.591259180131768,11.800167199561097,4.754553941664415,2.2025900647672323,-0.00631795466209617,2.5582818315592792,47,2577,2577,47,-2530,-2530,0,16.821748733520508,11.827228546142578
23,11.764339773733356,7.194539226654219,9.658998330792404,11.738157134966002,4.569800547079137,2.1053414429409525,0.02618263876735405,2.438276465370831,13,1761,1761,13,-1748,-1748,0,16.82387924194336,12.254674911499023
24,11.662062379195847,7.095635443796034,9.55470667544799,11.521507150021105,4.566426935399813,2.1073557037478565,0.14055522917474228,2.318516002477214,3,505,505,3,-502,-502,0,16.82354736328125,12.27653980255127
25,11.485218810689052,6.825395664842286,9.470031361260988,11.068735992331225,4.659823145846765,2.0151874494280637,0.4164828183578262,2.2281528780608753,2,64,64,2,-62,-62,0,16.800172805786133,12.120573997497559
26,11.48371155473689,6.946670950924704,9.54543199505226,11.02282144006508,4.537040603812186,1.9382795596846307,0.46089011467181074,2.1378709294557448,1,43,43,1,-42,-42,0,16.8149471282959,12.119815826416016
27,11.460448493450583,7.064319466865728,9.530243175258661,11.100487429333517,4.396129026584855,1.9302053181919216,0.35996106411706563,2.105962644275868,1,103,103,1,-102,-102,0,16.80788803100586,12.338251113891602
28,11.431155032494422,7.256007889864397,9.585311332134328,11.036177612731086,4.175147142630025,1.8458437003600938,0.394977419763336,1.9343260225065952,1,71,71,1,-70,-70,0,16.810762405395508,12.56840991973877
29,11.202892778963268,6.816434680801731,9.412224552652981,10.579016081929982,4.386458098161537,1.7906682263102862,0.6238766970332854,1.9719131748179652,1,49,49,1,-48,-48,0,16.784475326538086,12.153676986694336
30,11.042269238224646,6.4039638737232325,9.243878990890618,10.280911673883441,4.638305364501414,1.7983902473340283,0.7613575643412052,2.0785575528261804,1,120,120,1,-119,-119,0,16.773351669311523,11.474108695983887
31,11.144957327332415,6.073470317005,9.25207362023893,10.45196149084797,5.071487010327415,1.8928837070934854,0.692995836484446,2.4856074667494834,1,234,234,1,-233,-233,0,16.845033645629883,11.153679847717285
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,2.657679796218872,2.657679796218872
