fact_key,fact_index,prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,kl_raw_to_norm_bits,js_divergence,entropy_bits_norm,entropy_bits_raw,entropy_gap_bits,l1_prob_diff,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,norm_only_semantics
Japan→Tokyo,3,pos,orig,33,0.9862040281295776,128625, dieſem,0.0,33,0.0530780553817749,128625, dieſem,0.0,772,72.63221942930548,4.139008084238922,0.827856849076109,6.896980347576215,0.10502953615902526,4.16813953753797,1.866251826286316,0.47058823529411764,0.4492753623188406,False
Japan→Tokyo,3,pos,orig,34,0.8451382517814636,128625, dieſem,0.0,33,0.02730940282344818,128625, dieſem,0.0,947,79.57774841542846,4.676037326204809,0.8719011330097843,7.6905653968973,0.622482863639369,4.961724586859056,1.9110084772109985,0.4492753623188406,0.8518518518518519,False
Japan→Tokyo,3,pos,orig,35,0.9052114486694336,128625, dieſem,0.0,31,0.029677167534828186,128625, dieſem,0.0,894,80.2105234948174,4.6888572569654245,0.868770489820466,7.621382967830623,0.45360656341644445,4.892542157792379,1.9042954444885254,0.3888888888888889,0.8518518518518519,False
Japan→Tokyo,3,pos,orig,36,0.9991248250007629,199696,ſicht,0.0,31,0.028142401948571205,128625, dieſem,0.0,940,81.40818315820185,5.7589900649086045,0.9309420891203832,7.651118768164803,0.010191545436153915,4.922277958126559,1.9615912437438965,0.3888888888888889,0.8518518518518519,False
Japan→Tokyo,3,pos,orig,37,0.7516288757324219,128625, dieſem,0.0,31,0.028001664206385612,128625, dieſem,0.0,911,81.25692648055983,4.529989659092112,0.867453833641123,7.593353235393002,0.8090628859594603,4.864512425354757,1.91012442111969,0.3888888888888889,0.8867924528301887,False
Japan→Tokyo,3,pos,orig,38,0.8472104668617249,199696,ſicht,0.0,27,0.028370216488838196,214340, パンチラ,0.0,921,81.53336451425066,5.258066860664855,0.8881880620291432,7.575538584486029,0.6167846054639943,4.846697774447785,1.9139617681503296,0.3157894736842105,0.9230769230769231,False
Japan→Tokyo,3,pos,orig,39,0.906704306602478,128625, dieſem,0.0,23,0.039783235639333725,128625, dieſem,0.0,804,78.09648523318761,4.292438966553159,0.8412006819869153,7.26460358275452,0.45178328934332235,4.535762772716275,1.8795088529586792,0.28205128205128205,0.9230769230769231,False
Japan→Tokyo,3,pos,orig,40,0.5447794198989868,128625, dieſem,0.0,20,0.004870313219726086,209936, 展板,7.459842036358199e-15,10889,88.35927062360071,6.889785281394718,0.9646894277816005,8.71845066665603,0.9948072445790092,5.989609856617786,1.9830600023269653,0.14942528735632185,0.639344262295082,False
Japan→Tokyo,3,pos,orig,41,0.9049111604690552,199696,ſicht,0.0,23,0.03306178003549576,128625, dieſem,0.0,812,73.38361575850871,5.137207428632224,0.8732263453260078,7.1307756269509275,0.4698163152212286,4.401934816912682,1.8902552127838135,0.28205128205128205,0.5384615384615384,False
Japan→Tokyo,3,pos,orig,42,0.9981939196586609,128625, dieſem,0.0,16,0.036390308290719986,128625, dieſem,0.0,793,75.46646049485561,4.762476150493758,0.881698038724859,7.14074855690916,0.019095885378310678,4.411907746870915,1.9236072301864624,0.17647058823529413,0.8518518518518519,False
