pos_frac,pos_index,layer,kl_bits_baseline,kl_bits_tuned,delta_kl_bits_tuned,answer_rank_baseline,answer_rank_tuned,rank_shift_tuned,entropy_bits_baseline,entropy_bits_tuned
0.98,16,9,10.05148406591004,5.398694666518262,4.652789399391779,78857,28119,50738,16.883867263793945,10.231111526489258
0.2,3,10,9.05110226167729,3.3581807079588395,5.692921553718451,,,,16.82570457458496,11.311822891235352
0.4,6,10,9.291597297199013,5.865240602646346,3.426356694552667,,,,16.859283447265625,11.462189674377441
0.6,10,10,8.455152107491106,6.48670885463695,1.968443252854156,,,,16.847652435302734,12.13160228729248
0.8,13,10,11.385384945655002,8.034280979813865,3.351103965841137,,,,16.715381622314453,15.050036430358887
0.92,15,10,9.754650953618677,5.787207258435666,3.967443695183011,,,,16.83646011352539,12.578652381896973
0.98,16,10,10.26913911746658,5.891291158737838,4.377847958728742,74870,26204,48666,16.831693649291992,11.783164024353027
0.2,3,11,9.181637093682161,3.445188794822145,5.736448298860016,,,,16.80495262145996,11.48103141784668
0.4,6,11,9.207118043233995,5.690384465652921,3.516733577581074,,,,16.864845275878906,10.118060111999512
0.6,10,11,8.493129316454631,7.542295713935456,0.9508336025191753,,,,16.843103408813477,10.795819282531738
0.8,13,11,11.578756734840315,8.800802151264575,2.77795458357574,,,,16.6431827545166,15.543815612792969
0.92,15,11,9.75016427022297,5.491546035927282,4.258618234295687,,,,16.844388961791992,11.615108489990234
0.98,16,11,10.250260237916068,5.400514930894994,4.849745307021074,69626,22542,47084,16.83797836303711,10.820540428161621
0.2,3,12,9.312673427096948,4.0603769283338425,5.252296498763106,,,,16.7426815032959,12.448957443237305
0.4,6,12,9.208539307860725,7.239001557416479,1.9695377504442462,,,,16.832849502563477,7.686325550079346
0.6,10,12,8.633795990387133,8.314283181961189,0.31951280842594443,,,,16.7763729095459,10.079814910888672
0.8,13,12,11.820587731593942,10.074456132551088,1.7461315990428545,,,,16.511234283447266,15.810755729675293
0.92,15,12,9.722946983828024,5.173466874878931,4.549480108949092,,,,16.830015182495117,11.501769065856934
0.98,16,12,10.103984865773628,4.569844574637758,5.53414029113587,85852,34247,51605,16.836463928222656,9.019389152526855
0.2,3,13,9.394376193146439,4.038349390411334,5.356026802735105,,,,16.72857093811035,12.3757963180542
0.4,6,13,9.270201279570474,6.949692342135062,2.3205089374354113,,,,16.839988708496094,7.873894691467285
0.6,10,13,8.688323433808488,8.086569209120986,0.6017542246875021,,,,16.763681411743164,10.19434928894043
0.8,13,13,11.916435726711596,10.447985939890625,1.4684497868209707,,,,16.45868682861328,15.793752670288086
0.92,15,13,9.534674824206094,4.881205749378106,4.6534690748279885,,,,16.868818283081055,9.853689193725586
0.98,16,13,9.965729388606224,4.8576049141655036,5.108124474440721,35044,14729,20315,16.869531631469727,7.842858791351318
0.2,3,14,9.312026084399102,3.7852387395182197,5.526787344880883,,,,16.701244354248047,11.670506477355957
0.4,6,14,9.44122082758845,6.734626661369913,2.7065941662185375,,,,16.74762725830078,8.920269966125488
0.6,10,14,8.8740805191442,7.316815451764659,1.557265067379542,,,,16.680402755737305,12.339914321899414
0.8,13,14,11.794568820310209,9.884273589643373,1.9102952306668364,,,,16.4775390625,15.61913776397705
0.92,15,14,9.645055353321654,5.175275100470103,4.4697802528515505,,,,16.80630874633789,11.389913558959961
0.98,16,14,9.947733811950542,4.901525499577546,5.046208312372996,36832,16349,20483,16.81354331970215,8.056832313537598
0.2,3,15,9.299596554255945,3.070276934900274,6.229319619355671,,,,16.68997573852539,9.731184005737305
0.4,6,15,9.108080801838742,6.651144906779899,2.4569358950588436,,,,16.80391502380371,6.211993217468262
0.6,10,15,8.606727984933137,8.201671005968032,0.4050569789651046,,,,16.74335479736328,9.03688907623291
0.8,13,15,11.839141219969022,9.7085107601146,2.130630459854423,,,,16.452726364135742,15.489921569824219
0.92,15,15,9.548183717466065,4.801848482721083,4.746335234744982,,,,16.824771881103516,9.202282905578613
0.98,16,15,10.065308031386394,5.080387800440169,4.984920230946225,32426,13342,19084,16.81283950805664,8.466950416564941
0.2,3,16,9.542378959034144,3.6206778279707446,5.921701131063399,,,,16.645132064819336,11.054390907287598
0.4,6,16,9.279176022223098,4.765926466435368,4.51324955578773,,,,16.799531936645508,6.908506393432617
0.6,10,16,8.780213076233883,7.358210987896733,1.42200208833715,,,,16.723777770996094,10.48330020904541
0.8,13,16,11.94269403784533,10.022765027007761,1.9199290108375688,,,,16.410640716552734,15.459006309509277
0.92,15,16,9.61780229453533,4.9151767944724325,4.702625500062898,,,,16.835214614868164,9.632135391235352
