layer,kl_bits_baseline,kl_bits_tuned,kl_bits_rot_only,kl_bits_temp_only,delta_kl_bits_tuned,delta_kl_bits_rot_only,delta_kl_bits_temp_only,delta_kl_bits_interaction,answer_rank_baseline,answer_rank_tuned,answer_rank_rot_only,answer_rank_temp_only,rank_shift_tuned,rank_shift_rot_only,rank_shift_temp_only,entropy_bits_baseline,entropy_bits_tuned
25,45.8514552711972,45.122727631238895,45.90579628542502,45.081006016000785,0.7287276399583078,-0.05434101422781623,0.7704492551964179,0.012619398989706099,774,1014,779,985,-240,-5,-211,6.958630561828613,7.675780296325684
26,46.58511950116587,45.70244399904484,46.56170784686922,45.704062011824156,0.8826755021210317,0.023411654296651818,0.881057489341714,-0.021793641517334095,720,853,722,845,-133,-2,-125,6.195926666259766,7.045075416564941
27,46.138305822501884,45.31877959805526,46.12698523649149,45.31220573320868,0.8195262244466264,0.011320586010391764,0.826100089293206,-0.01789445085697139,777,1008,784,980,-231,-7,-203,6.645184516906738,7.4354705810546875
28,45.68279945273268,45.02641734675572,45.71468366034144,45.000058597753885,0.6563821059769595,-0.03188420760876198,0.6827408549787961,0.005525458606925326,849,8428,867,4075,-7579,-18,-3226,7.093824863433838,7.721530437469482
29,45.281562552408545,44.76050189957527,45.339216640422585,44.73541994977344,0.5210606528332775,-0.05765408801403993,0.5461426026351077,0.03257213821220972,952,173908,997,146837,-172956,-45,-145885,7.525031566619873,8.015725135803223
30,45.576649008897746,44.91207227357247,45.58219648128397,44.90501960902589,0.6645767353252765,-0.005547472386226104,0.6716293998718541,-0.0015051921603514984,870,24027,884,13123,-23157,-14,-12253,7.237159252166748,7.88029670715332
31,45.325989110779425,44.790261777480566,45.38642243843141,44.761795209109756,0.5357273332988584,-0.06043332765198528,0.5641939016696682,0.03196675928117543,870,36925,885,19496,-36055,-15,-18626,7.490768909454346,8.00519847869873
32,43.85561724585241,36.51981972494672,40.06508660016714,43.59487778853232,7.335797520905686,3.7905306456852657,0.26073945732008497,3.2845274179003354,30474,10286,10286,30474,20188,20188,0,8.881253242492676,10.858363151550293
33,45.92657729309408,45.165236239087356,45.921621441026815,45.15373403939765,0.7613410540067207,0.004955852067261901,0.7728432536964291,-0.01645805175697035,773,1005,776,978,-232,-3,-205,6.870492458343506,7.608555793762207
34,45.1646473704908,44.71462793521472,45.23194899728764,44.687449172933576,0.4500194352760758,-0.06730162679684071,0.4771981975572217,0.0401228645156948,949,80501,999,96088,-79552,-50,-95139,7.660398960113525,8.084907531738281
35,45.32453344962252,44.79094695636161,45.37508809380895,44.765636613599426,0.5335864932609127,-0.050554644186426856,0.558896836023095,0.025244301424244497,895,90136,914,50471,-89241,-19,-49576,7.532613277435303,8.033451080322266
36,45.31437409047075,44.797330952361634,45.37804619540378,44.764981703664944,0.5170431381091163,-0.06367210493303332,0.5493923868058062,0.031322856236343455,941,40045,978,55599,-39104,-37,-54658,7.509767532348633,7.994667053222656
37,45.38600417662451,44.81146930212376,45.43337507797816,44.78760911707366,0.574534874500749,-0.04737090135365207,0.5983950595508531,0.02351071630354795,913,36777,937,46491,-35864,-24,-45578,7.454978942871094,7.991275787353516
38,45.41836993565568,44.82007393811173,45.46848155253348,44.79472782295817,0.5982959975439499,-0.05011161687779975,0.6236421126975102,0.024765501724239414,921,37014,957,53996,-36093,-36,-53075,7.429741859436035,7.9829559326171875
39,45.74223665687087,45.05210467548859,45.76723605500029,45.02370414845571,0.6901319813822795,-0.02499939812941676,0.7185325084151657,-0.0034011289034694414,802,1722,818,1270,-920,-16,-468,7.097267150878906,7.759122371673584
40,44.08269763460684,43.736297058545,43.90299365065089,43.93723608436828,0.34640057606183916,0.179703983955946,0.1454615502385579,0.02123504186733527,15295,4558,4558,15295,10737,10737,0,8.71486759185791,8.87555980682373
41,45.808599946324605,45.10311335387329,45.85972419705068,45.0613752283007,0.7054865924513152,-0.05112425072607607,0.747224718023908,0.009386125153483249,812,2045,822,1385,-1233,-10,-573,7.013575077056885,7.6828837394714355
42,45.86548355206278,45.17101485615634,45.89257976267152,45.13540206467688,0.694468695906437,-0.027096210608739568,0.7300814873858954,-0.008516580870718826,791,1186,802,1070,-395,-11,-279,6.96714448928833,7.623666286468506
43,45.80252414323492,45.113267209580236,45.82038282170051,45.0862507989215,0.6892569336546828,-0.017858678465593414,0.7162733443134215,-0.009157732193145307,801,1358,806,1140,-557,-5,-339,7.026658535003662,7.681723594665527
44,45.243605293432516,44.763963566371835,45.32262375426734,44.73361757159239,0.479641727060681,-0.07901846083482411,0.5099877218401261,0.048672466055379005,859,28280,874,15429,-27421,-15,-14570,7.603885650634766,8.060125350952148
45,44.96650959808478,44.480461861244756,44.96786619723478,44.497387705812066,0.4860477368400211,-0.0013565991500001928,0.4691218922727103,0.018282443717311025,47694,32264,32264,47694,15430,15430,0,7.696579456329346,8.15789794921875
46,1.1332085630343458,1.1332085630343458,1.1332085630343458,1.1332085630343458,0.0,0.0,0.0,0.0,1,1,1,1,0,0,0,0.07202857732772827,0.07202857732772827
