fact_key,fact_index,prompt_id,prompt_variant,layer,p_top1_raw,top1_token_id_raw,top1_token_str_raw,p_answer_raw,answer_rank_raw,p_top1_norm,top1_token_id_norm,top1_token_str_norm,p_answer_norm,answer_rank_norm,kl_norm_vs_raw_bits,kl_raw_to_norm_bits,js_divergence,entropy_bits_norm,entropy_bits_raw,entropy_gap_bits,l1_prob_diff,topk_jaccard_raw_norm@50,topk_jaccard_consecutive@50,norm_only_semantics
Germany→Berlin,0,pos,orig,10,0.03220701217651367,22619,ifiable,1.4831261978542898e-06,74175,0.00015839182015042752,76540, (?),7.854871000745334e-06,39855,1.3928315089850314,1.8008365285599004,0.3004436300722512,17.01990119114044,14.354537457709151,13.897317452806753,1.047877550125122,0.19047619047619047,0.3888888888888889,False
Germany→Berlin,0,pos,orig,11,0.09714823961257935,22619,ifiable,2.548567408666713e-06,46536,5.587438863585703e-05,22619,ifiable,8.92675689101452e-06,20991,1.878722827604093,3.2509161605116113,0.3984511253454637,17.128203481902975,12.837924273479352,14.005619743569287,1.2046427726745605,0.3333333333333333,0.3333333333333333,False
Germany→Berlin,0,pos,orig,12,0.053744006901979446,22619,ifiable,2.654413037816994e-06,52607,4.94218802487012e-05,22619,ifiable,9.381861673318781e-06,18554,1.5601942758890377,2.0920081439675102,0.32817929367472776,17.116913164839136,14.281593424102802,13.994329426505448,1.0979700088500977,0.21951219512195122,0.3698630136986301,False
Germany→Berlin,0,pos,orig,13,0.058111075311899185,22619,ifiable,2.459737515891902e-06,53254,4.22528937633615e-05,22619,ifiable,9.344938007416204e-06,17829,1.6967854769440434,2.268875962028077,0.3487775697772409,17.12559484905469,14.14012737480909,14.003011110721001,1.1341909170150757,0.12359550561797752,0.4925373134328358,False
Germany→Berlin,0,pos,orig,14,0.054164234548807144,22619,ifiable,1.6957958450802835e-06,58119,8.077592792687938e-05,1,"""",9.673807653598487e-06,21482,1.8521585593344745,2.467381949289599,0.3752776885180876,17.053115856536273,13.66338045972773,13.930532118202585,1.1782355308532715,0.0989010989010989,0.4492753623188406,False
Germany→Berlin,0,pos,orig,15,0.06809941679239273,22619,ifiable,4.349061327957315e-06,28794,9.236573532689363e-05,1,"""",1.2983377928321715e-05,7894,2.0548150039092685,3.003145226962485,0.41293023723244676,17.036388135982754,12.999147689704184,13.913804397649066,1.236716628074646,0.08695652173913043,0.5151515151515151,False
Germany→Berlin,0,pos,orig,16,0.0778999924659729,22619,ifiable,4.955644271831261e-06,24155,0.00022165541304275393,12,-,1.6519725249963813e-05,5986,2.0269883829823168,2.8404895392212683,0.40776839294511313,16.912835799602913,12.788303839052414,13.790252061269225,1.2297043800354004,0.0989010989010989,0.47058823529411764,False
Germany→Berlin,0,pos,orig,17,0.10870883613824844,22619,ifiable,4.452135272003943e-06,18943,0.00010619501699693501,12,-,1.5951056411722675e-05,5302,2.76531901821685,4.643320722565876,0.5302910691942392,16.97163185241868,10.659768127885501,13.849048114084994,1.41192626953125,0.12359550561797752,0.4084507042253521,False
Germany→Berlin,0,pos,orig,18,0.06626808643341064,29991,名称,4.422972779138945e-06,19343,0.00016449016402475536,12,-,1.5593946955050342e-05,7274,2.7389903661789137,4.068894197135172,0.5181316378042624,16.910595897558075,11.312427153436584,13.788012159224387,1.3973993062973022,0.07526881720430108,0.4492753623188406,False
Germany→Berlin,0,pos,orig,19,0.07240214198827744,33323,-minded,4.132357844355283e-06,17670,0.0004358853620942682,398,ly,1.9410268578212708e-05,7442,2.6848971789509872,3.663263140081488,0.5045892294252036,16.628593881146518,10.935765198059533,13.50601014281283,1.3843488693237305,0.26582278481012656,0.2987012987012987,False
Germany→Berlin,0,pos,orig,20,0.31502002477645874,33323,-minded,1.6779119960119715e-06,13091,0.00028326353640295565,62,_,2.2981519578024745e-05,4260,5.032257079735005,7.312032958209465,0.7503913055872522,16.695971180309737,6.624844631879355,13.573387441976049,1.723284125328064,0.2345679012345679,0.3698630136986301,False
Germany→Berlin,0,pos,orig,21,0.408870667219162,118164,这个名字,7.046569976409955e-07,9245,0.0007536584162153304,62,_,2.9028589779045433e-05,3778,6.831850517694469,8.756116930986797,0.8590374326645244,16.408070846904188,3.9424023332867835,13.2854871085705,1.8579976558685303,0.19047619047619047,0.5151515151515151,False
